timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-05-04,0.50000000,1.50000000,0.50000000,0.88990000,20890213.82000000,1525478399999,18946724.69447550,37492,8580293.34000000,7765705.54207550,0
2018-05-05,0.88980000,0.93500000,0.88800000,0.90280000,16816165.30000000,1525564799999,15282000.07779090,26476,8057022.91000000,7321986.13999940,0
2018-05-06,0.90280000,0.91800000,0.83774000,0.86483000,16002035.80000000,1525651199999,13997141.56381680,28713,7105353.54000000,6202720.63768380,0
2018-05-07,0.86482000,0.86886000,0.80000000,0.82490000,17303486.40000000,1525737599999,14192279.72923270,29174,7663873.06000000,6270763.15242480,0
2018-05-08,0.82490000,0.84802000,0.79200000,0.80667000,12971303.18000000,1525823999999,10571844.13062480,23010,5941956.44000000,4847939.68801400,0
2018-05-09,0.80667000,0.81894000,0.75690000,0.79481000,13982375.89000000,1525910399999,11014807.23993190,26971,6959966.53000000,5481454.88845170,0
2018-05-10,0.79481000,0.80572000,0.74085000,0.74558000,10136895.73000000,1525996799999,7949198.40925800,20175,4439818.93000000,3482182.68100760,0
2018-05-11,0.74920000,0.75602000,0.64758000,0.67610000,31292480.04000000,1526083199999,21611338.04985610,50248,14712053.67000000,10103226.28777780,0
2018-05-12,0.67376000,0.71000000,0.62519000,0.68522000,18181151.11000000,1526169599999,12223888.83791420,33907,7997751.67000000,5381952.92036520,0
2018-05-13,0.68192000,0.75010000,0.66456000,0.72999000,17521261.77000000,1526255999999,12503150.51969370,29953,8303020.70000000,5916965.12307930,0
2018-05-14,0.72999000,0.74990000,0.68585000,0.72694000,21771364.96000000,1526342399999,15661876.54378690,35859,9846287.51000000,7081706.54790800,0
2018-05-15,0.72695000,0.74892000,0.68010000,0.68900000,12951988.45000000,1526428799999,9315740.47292290,22403,6043057.82000000,4344307.14029620,0
2018-05-16,0.68900000,0.71200000,0.65756000,0.70585000,11182432.70000000,1526515199999,7602189.99238780,18836,5378728.97000000,3658187.32114560,0
2018-05-17,0.70942000,0.71200000,0.64820000,0.65849000,10070061.14000000,1526601599999,6897498.18231170,17108,4900105.69000000,3364677.46115440,0
2018-05-18,0.65849000,0.68255000,0.64600000,0.67766000,10140675.13000000,1526687999999,6745876.69164840,17434,4897821.95000000,3264359.22226350,0
2018-05-19,0.67698000,0.69139000,0.66110000,0.67339000,6854397.75000000,1526774399999,4624460.53061850,11991,3406639.88000000,2298450.08190770,0
2018-05-20,0.67483000,0.70659000,0.66800000,0.69940000,8055673.92000000,1526860799999,5558451.01628870,15301,4443174.05000000,3067546.89249360,0
2018-05-21,0.69940000,0.70500000,0.66666000,0.67612000,7908213.57000000,1526947199999,5420030.28948630,15647,3350164.18000000,2296478.17301670,0
2018-05-22,0.67612000,0.67817000,0.63500000,0.63782000,7567010.71000000,1527033599999,4982003.42479500,14642,3434610.57000000,2258972.10516710,0
2018-05-23,0.63782000,0.64488000,0.57310000,0.59198000,20078062.21000000,1527119999999,12176385.08668600,31407,9130039.89000000,5543765.19730450,0
2018-05-24,0.59053000,0.64000000,0.57617000,0.62814000,14214140.10000000,1527206399999,8700112.87571140,24696,6528856.78000000,3995619.00366340,0
2018-05-25,0.62966000,0.63391000,0.59336000,0.60459000,20060607.91000000,1527292799999,12208461.53227430,22182,11606885.16000000,7059761.62210550,0
2018-05-26,0.60596000,0.62618000,0.59771000,0.60852000,25800066.42000000,1527379199999,15835491.88828580,20665,15979550.23000000,9814600.77836220,0
2018-05-27,0.60907000,0.64800000,0.59705000,0.60416000,23735080.80000000,1527465599999,14343498.07096390,17852,14690368.57000000,8886803.08441170,0
2018-05-28,0.60417000,0.60910000,0.54340000,0.54689000,29854808.11000000,1527551999999,17222339.88940590,26621,15977400.95000000,9226361.63869670,0
2018-05-29,0.54689000,0.60921000,0.54303000,0.59998000,30948291.22000000,1527638399999,17917595.54360510,27166,17587477.66000000,10168521.23212530,0
2018-05-30,0.59970000,0.62600000,0.58101000,0.60149000,31305613.07000000,1527724799999,18886579.36183610,25759,17746483.17000000,10710970.11221820,0
2018-05-31,0.60051000,0.62255000,0.58829000,0.61140000,33579966.89000000,1527811199999,20482812.80935790,28332,18354470.71000000,11196589.99873500,0
2018-06-01,0.61140000,0.62428000,0.60240000,0.62151000,34403361.87000000,1527897599999,21071397.53052320,26882,20665105.55000000,12660032.03917020,0
2018-06-02,0.62236000,0.65204000,0.61513000,0.64269000,37211532.20000000,1527983999999,23702560.11670910,30570,22153226.27000000,14105395.24772960,0
2018-06-03,0.64285000,0.69101000,0.63862000,0.69010000,37142715.53000000,1528070399999,24486265.63933700,34763,21732634.39000000,14319099.97933060,0
2018-06-04,0.69010000,0.70700000,0.63510000,0.65507000,48289982.65000000,1528156799999,32100617.08835670,51519,25998134.35000000,17279792.49467010,0
2018-06-05,0.65508000,0.68600000,0.63280000,0.67464000,42509387.77000000,1528243199999,28070582.13141060,39571,24818974.98000000,16389459.14547400,0
2018-06-06,0.67507000,0.68330000,0.65300000,0.67410000,34326183.79000000,1528329599999,22997564.64835580,31424,20599033.56000000,13805804.04122270,0
2018-06-07,0.67380000,0.69000000,0.67089000,0.67756000,35031819.04000000,1528415999999,23809284.71399290,28989,21586892.03000000,14672978.56763390,0
2018-06-08,0.67770000,0.68000000,0.65832000,0.67210000,32089604.02000000,1528502399999,21502857.32194760,22990,18737083.13000000,12559804.28064580,0
2018-06-09,0.67211000,0.68000000,0.65514000,0.65740000,31323211.84000000,1528588799999,20988079.87352960,19776,18206205.90000000,12208798.97506290,0
2018-06-10,0.65687000,0.65850000,0.55000000,0.58201000,47688606.63000000,1528675199999,28984633.45768750,45053,25100135.37000000,15278981.59893410,0
2018-06-11,0.58202000,0.60000000,0.56000000,0.59989000,23744329.91000000,1528761599999,13711198.29924590,26713,13867760.56000000,8009105.23122610,0
2018-06-12,0.59901000,0.59910000,0.54150000,0.55560000,29332950.65000000,1528847999999,16778215.95250180,27017,15424402.47000000,8815958.87704610,0
2018-06-13,0.55560000,0.56124000,0.50401000,0.52862000,36877773.15000000,1528934399999,19678707.38907840,30883,20602550.49000000,11010929.28168840,0
2018-06-14,0.52863000,0.56900000,0.51934000,0.55769000,35000456.50000000,1529020799999,19168374.21811600,28822,20510351.50000000,11228402.01123200,0
2018-06-15,0.55765000,0.55927000,0.52447000,0.53258000,25702497.70000000,1529107199999,14014574.41217500,21219,15663637.30000000,8541662.41182300,0
2018-06-16,0.53224000,0.53850000,0.51733000,0.53275000,26240580.60000000,1529193599999,13928650.36490100,19238,16056639.00000000,8527625.74473300,0
2018-06-17,0.53232000,0.54370000,0.51999000,0.52617000,33461820.80000000,1529279999999,17731742.40778700,18128,18034481.00000000,9558256.28805400,0
2018-06-18,0.52669000,0.55350000,0.50818000,0.53870000,33893328.60000000,1529366399999,17838659.67991900,25331,20603533.70000000,10841629.76694000,0
2018-06-19,0.53835000,0.56185000,0.52070000,0.54834000,28857265.30000000,1529452799999,15666561.30240600,20714,16365493.60000000,8893886.67423100,0
2018-06-20,0.54833000,0.55188000,0.52065000,0.53916000,34683099.00000000,1529539199999,18569764.37055200,23483,20711928.90000000,11101717.94887700,0
2018-06-21,0.53919000,0.54900000,0.52899000,0.53457000,29891909.80000000,1529625599999,16084409.98467100,19507,19276600.60000000,10369959.25979200,0
2018-06-22,0.53420000,0.53506000,0.46859000,0.48216000,41843180.71000000,1529711999999,21054452.09777860,31757,22942765.47000000,11565072.48410510,0
2018-06-23,0.48287000,0.49909000,0.47333000,0.49005000,27230808.70000000,1529798399999,13211906.74251400,18211,17097902.70000000,8295627.46112100,0
2018-06-24,0.48963000,0.51000000,0.43724000,0.47331000,41451907.36000000,1529884799999,19228982.69361800,32181,24177040.42000000,11231760.88143300,0
2018-06-25,0.47418000,0.49920000,0.47123000,0.48125000,31726495.20000000,1529971199999,15210518.56413600,21583,19582746.50000000,9388230.82720600,0
2018-06-26,0.48125000,0.48241000,0.45110000,0.45300000,17670678.00000000,1530057599999,8310814.13616800,12386,10125106.10000000,4766770.13380900,0
2018-06-27,0.45218000,0.47518000,0.44787000,0.47010000,29671588.20000000,1530143999999,13726173.83150400,17841,17697213.70000000,8189649.82965900,0
2018-06-28,0.47042000,0.47396000,0.44200000,0.44575000,35784353.90000000,1530230399999,16443331.06998500,19786,20239951.20000000,9318276.35991700,0
2018-06-29,0.44630000,0.46124000,0.42393000,0.45321000,37535516.80000000,1530316799999,16486127.90961300,24570,21585798.40000000,9478605.77398600,0
2018-06-30,0.45346000,0.48318000,0.45312000,0.46796000,37495051.80000000,1530403199999,17496283.24641600,22107,21807780.60000000,10181290.39874500,0
2018-07-01,0.46797000,0.46989000,0.45007000,0.46222000,31676174.10000000,1530489599999,14527131.72469600,16731,18318221.90000000,8406621.93879300,0
2018-07-02,0.46222000,0.49540000,0.45200000,0.48990000,39873781.80000000,1530575999999,18861835.88311100,24340,23606073.30000000,11171729.49347900,0
2018-07-03,0.48913000,0.52000000,0.47801000,0.48440000,44333181.60000000,1530662399999,22062745.01410600,28822,25727690.80000000,12797155.68228100,0
2018-07-04,0.48469000,0.50800000,0.47941000,0.49097000,26722886.30000000,1530748799999,13200046.15037100,16907,14314761.40000000,7074668.34545700,0
2018-07-05,0.49155000,0.50295000,0.46887000,0.47690000,30689285.90000000,1530835199999,14877622.12731100,20079,17709409.30000000,8587486.77531500,0
2018-07-06,0.47772000,0.48156000,0.45747000,0.47698000,26805008.70000000,1530921599999,12625528.91474700,17487,16236899.30000000,7653807.81931400,0
